epoch,training_accuracy,test_accuracy,training_loss,test_loss
0,0.091685,0.095510,3.465314,3.453011
1,0.911665,0.913091,0.345964,0.336996
2,0.928665,0.927393,0.270476,0.273851
3,0.935866,0.932393,0.245685,0.251531
4,0.940666,0.937394,0.224909,0.233276
5,0.944816,0.941194,0.217062,0.226387
6,0.947216,0.943394,0.199128,0.210820
7,0.949832,0.944994,0.187228,0.201786
8,0.953449,0.947295,0.180636,0.198090
9,0.953099,0.946295,0.179582,0.195872
10,0.954966,0.946995,0.173887,0.193361
11,0.957833,0.950195,0.165896,0.185243
12,0.958816,0.949895,0.156696,0.179269
13,0.959399,0.950495,0.156967,0.177260
14,0.959983,0.952095,0.155597,0.179823
15,0.958749,0.948895,0.165734,0.189891
16,0.960699,0.948795,0.148299,0.174472
17,0.963499,0.953495,0.141295,0.166475
18,0.963483,0.953195,0.143218,0.168548
19,0.963916,0.953395,0.137991,0.163309
20,0.963366,0.952495,0.147159,0.173734
21,0.964566,0.954095,0.133639,0.157689
22,0.966316,0.955496,0.131703,0.159749
23,0.965049,0.953695,0.131902,0.160793
24,0.966949,0.955596,0.129307,0.157089
25,0.966333,0.954195,0.132324,0.161941
26,0.966583,0.954495,0.128063,0.160456
27,0.968349,0.953895,0.125166,0.159212
28,0.968666,0.954395,0.122914,0.156211
29,0.968883,0.954595,0.131837,0.166200
30,0.969866,0.954295,0.117047,0.154483
31,0.970216,0.955296,0.118160,0.155795
32,0.969466,0.955996,0.121535,0.159152
33,0.970600,0.956296,0.114832,0.153693
34,0.969483,0.954895,0.117858,0.156188
35,0.970416,0.955896,0.114829,0.153441
