epoch,test_accuracy
0,0.1006
1,0.0971
2,0.1055
3,0.103
4,0.0956
5,0.0987
6,0.1007
7,0.1062
8,0.0993
9,0.0999
10,0.1006
11,0.0972
12,0.0963
13,0.0972
14,0.1003
15,0.0932
16,0.0959
17,0.0994
18,0.0995
19,0.0989
20,0.099
21,0.106
22,0.0998
23,0.1031
24,0.1043
25,0.1011
26,0.1016
27,0.0988
28,0.1008
29,0.1054
30,0.0983
31,0.1005
32,0.0995
33,0.1004
34,0.098
35,0.1043
36,0.103
37,0.1017
38,0.0988
39,0.1028
40,0.1046
41,0.0954
42,0.1021
43,0.0999
44,0.0994
45,0.1045
46,0.0968
47,0.0967
48,0.0985
49,0.1002
50,0.1005
51,0.1026
52,0.1032
53,0.0971
54,0.1019
55,0.1015
56,0.0995
57,0.0984
58,0.1031
59,0.0984
60,0.0991
61,0.0932
62,0.097
63,0.0988
64,0.0985
65,0.1032
66,0.0968
67,0.1027
68,0.106
69,0.1006
70,0.1026
71,0.0963
72,0.105
73,0.0989
74,0.0972
75,0.1032
76,0.0965
77,0.1024
78,0.1023
79,0.0974
80,0.1029
81,0.0985
82,0.1034
83,0.1022
84,0.1034
85,0.1037
86,0.1024
87,0.098
88,0.0981
89,0.0993
90,0.0998
91,0.1005
92,0.1006
93,0.1035
94,0.1007
95,0.1009
96,0.1007
97,0.1064
98,0.0975
99,0.1001
