epoch,training_accuracy,test_accuracy,training_loss,test_loss
0,0.131386,0.127213,4.505073,4.524428
1,0.916365,0.917792,0.331420,0.327430
2,0.928182,0.925493,0.275594,0.277729
3,0.931182,0.929393,0.277567,0.282219
4,0.938282,0.934993,0.226566,0.232503
5,0.940499,0.935194,0.225810,0.234696
6,0.942799,0.935494,0.209189,0.219382
7,0.946116,0.938694,0.196752,0.209608
8,0.947432,0.939194,0.192186,0.205773
10,0.950866,0.943594,0.179509,0.195798
11,0.952566,0.942994,0.176848,0.198280
12,0.953299,0.944794,0.174464,0.193220
13,0.953616,0.943094,0.171982,0.195172
14,0.954283,0.946495,0.167760,0.188818
15,0.955883,0.944894,0.169161,0.191823
16,0.957316,0.945295,0.161540,0.185813
17,0.957633,0.949195,0.157322,0.179443
18,0.957816,0.948995,0.155427,0.178125
19,0.957233,0.946895,0.158544,0.184014
20,0.958899,0.950395,0.152316,0.177749
21,0.958233,0.947295,0.152452,0.178413
22,0.960016,0.949295,0.147783,0.176750
23,0.960866,0.952195,0.148041,0.174811
24,0.960833,0.950595,0.148123,0.175410
25,0.961999,0.951095,0.142554,0.170551
26,0.962583,0.952295,0.142230,0.171953
27,0.962833,0.953395,0.139663,0.166784
28,0.962783,0.951295,0.142809,0.171719
29,0.962366,0.949795,0.142428,0.175253
30,0.964933,0.950395,0.136347,0.171485
31,0.964683,0.951795,0.134641,0.169108
32,0.964649,0.953895,0.133242,0.165221
33,0.965516,0.951395,0.131493,0.166973
34,0.965899,0.951895,0.130318,0.168015
35,0.966149,0.952695,0.129781,0.165171
36,0.965666,0.950895,0.129895,0.168787
37,0.966449,0.950895,0.126564,0.165720
38,0.966233,0.951995,0.127007,0.161562
39,0.967016,0.951795,0.123699,0.164318
40,0.967066,0.952695,0.126263,0.164812
41,0.967249,0.952595,0.124363,0.163396
42,0.967699,0.949395,0.122955,0.168012
43,0.968416,0.952795,0.121392,0.162661
44,0.968683,0.950895,0.122511,0.167144
45,0.969116,0.950995,0.119645,0.163942
46,0.968983,0.951895,0.118798,0.163230
47,0.969249,0.951395,0.118592,0.164314
48,0.969216,0.951695,0.116321,0.162266
49,0.969566,0.953195,0.116305,0.161141
50,0.970816,0.953495,0.113443,0.159638
