epoch,training_accuracy,test_accuracy,training_loss,test_loss
0,0.120585,0.115112,3.998518,4.016557
1,0.916432,0.914691,0.334860,0.332196
2,0.927582,0.924692,0.274984,0.277974
3,0.933882,0.929693,0.246817,0.252246
4,0.937766,0.931093,0.236776,0.245853
5,0.942032,0.935394,0.213618,0.226382
6,0.945732,0.939994,0.202775,0.216669
7,0.947416,0.940494,0.199560,0.214930
8,0.948166,0.940494,0.189036,0.207106
9,0.950016,0.942194,0.188982,0.210311
10,0.951083,0.942894,0.186982,0.209067
11,0.953199,0.943894,0.176406,0.197413
12,0.953049,0.943194,0.177935,0.199699
13,0.955399,0.946295,0.166942,0.189177
14,0.955649,0.943494,0.169945,0.197330
15,0.958033,0.945395,0.158858,0.183940
16,0.958716,0.946395,0.154970,0.182628
17,0.959833,0.950095,0.150860,0.176889
18,0.960483,0.948595,0.146545,0.177235
19,0.960466,0.948695,0.149428,0.179454
20,0.960283,0.946395,0.146145,0.179404
21,0.963449,0.948895,0.137788,0.171075
22,0.964166,0.950695,0.134250,0.165330
23,0.964599,0.951995,0.133736,0.165946
24,0.965166,0.951895,0.136286,0.168106
25,0.964966,0.951195,0.135115,0.168527
26,0.965233,0.952195,0.132110,0.164190
27,0.966316,0.953195,0.127900,0.160903
28,0.967049,0.951395,0.125386,0.161043
29,0.967416,0.952395,0.129011,0.168072
30,0.968399,0.952195,0.121319,0.159669
31,0.968549,0.952995,0.121745,0.160258
32,0.969299,0.954695,0.121280,0.159809
33,0.969283,0.951895,0.121505,0.164851
34,0.969383,0.953995,0.118225,0.158960
35,0.970466,0.953595,0.114760,0.156259
36,0.970983,0.953595,0.115152,0.158159
37,0.969316,0.952195,0.117794,0.160332
38,0.970916,0.954495,0.112368,0.155195
39,0.970883,0.955196,0.111795,0.154102
40,0.971366,0.955596,0.112356,0.155420
41,0.971450,0.952595,0.110161,0.156793
42,0.970933,0.954395,0.111540,0.157547
43,0.971600,0.953195,0.110819,0.156439
44,0.971350,0.951995,0.113412,0.159570
45,0.972850,0.953895,0.107990,0.153511
46,0.973566,0.955696,0.103258,0.150543
47,0.973400,0.955296,0.105542,0.151089
48,0.972950,0.954995,0.104816,0.153428
49,0.974083,0.955796,0.103770,0.153290
50,0.973616,0.952795,0.102866,0.154634
51,0.973816,0.953195,0.102134,0.154549
52,0.974383,0.955296,0.102301,0.154348
53,0.974700,0.954795,0.100970,0.151964
54,0.974483,0.955696,0.100447,0.150487
55,0.975233,0.955296,0.097957,0.151302
56,0.974816,0.953895,0.098881,0.154592
57,0.975550,0.954995,0.098243,0.152156
58,0.974816,0.955096,0.097751,0.152468
59,0.975750,0.953495,0.096735,0.153451
60,0.975616,0.953395,0.095848,0.151520
61,0.975383,0.952795,0.096445,0.155162
62,0.976016,0.954495,0.094675,0.152173
63,0.976016,0.954595,0.094973,0.152414
64,0.976350,0.955496,0.094327,0.152161
